Description,Synonyms
Hypertriglyceridemia,"['hyperglyceridemia', 'raised triglycerides', 'elevated triglycerides', 'high triglycerides', 'hypertriglyceridemias', 'hypertriglyceridaemia', 'increased triglycerides', 'hypertriglyceridemia', 'hyperglyceridaemia', 'hypertriglyceridemia (disorder)', 'hypertriglyceridemia [disease/finding]', 'triglycerides high', 'triglyceride increased', 'elevated tg', 'raised tg', 'hypertriglyceridemia result', 'increased triglycerides', 'hypertriglyceridemia']"
Vitamin D levels,[]
drug dependence,"['dependence;drug(s)', 'psychoactive substance dependence, nos', 'dependence; drug', 'drug addiction syndrome', 'drug addiction nos', 'drug dependence syndromes', 'chemical dependency', 'addiction any drug', 'drug dependence nos', 'drug addiction', 'dependence; substance', 'drug dependency', 'dependency (drug)', 'addiction;drug(s)', '[x]drug addiction nos', 'addiction, drug', 'drug dependence', 'unspecified drug dependence', 'chemical dependence', 'drugs; dependence', 'abuse;drug(s);dependent', 'dependence syndrome', 'drug dependence syndrome', 'dependence drug (nos)', 'drug dependence (disorder)', 'drug dependence (diagnosis)', 'dependence, drug', 'drug dependence, unspecified', 'drug dependence, nos', 'drug; dependence', 'psychoactive substance dependence (disorder)', 'psychoactive substance dependence nos', 'dependent drug abuse (disorder)', 'psychoactive substance dependence', 'dependence syndrome (disorder)', 'addiction to drugs', 'dependence; drugs', 'dependent drug abuse', 'drug abuse and dependency', 'drug dependence nos (disorder)', 'drug abuse, dependent', 'chemical addiction', 'chemical dependencies', 'addictions drugs', 'addiction, substance', 'dependency drug', 'chemical dependency', 'drugs addiction', 'dependence, substance', 'drug addiction', 'drug dependency', 'addictions substance', 'substance dependence', 'addictions drug', 'dependence substances', 'drug dependence', 'substance addiction', 'chemical dependence', 'dependence substance', 'addiction chemical', 'addiction drug', 'substance; dependence', 'substance dependence, nos', 'dependency drugs', 'addiction to drugs', 'drugs dependence', 'substance dependence (diagnosis)', 'chemical addiction', 'dependence drug']"
Phospholipid levels (plasma),[]
Mammographic density,['mammographic density']
icam-1 measurement,[]
AB1-42,[]
Acute lymphoblastic leukemia (childhood),[]
Methotrexate phramacokinetics (acute lymphoblastic leukemia),[]
birth weight,"['birth weight [disease/finding]', 'birthweight', 'infant birthweight', 'birthweight of baby', 'birth weight of baby nos (observable entity)', 'birth weight finding', 'birth weight finding (finding)', 'birth weight of baby', 'babies birth weight', 'finding of birth weight', 'observation of birth weight', 'birth weight (physical finding)', 'weight - baby', 'birth weight', 'birth weight of baby nos (finding)', 'babies birthweight', 'birth weights', 'birth weight, nos', 'weights, birth', 'finding of birth weight (finding)', 'birthweight of baby nos', 'weight, birth', 'bw - birth weight', 'birth weight of baby nos', 'birth weight (observable entity)']"
ankylosing spondylitis,"['marie-struempell disease', 'ankylosing spondylitis, nos', 'spondylitis; ankylopoietica', 'ankylosing spondylitis (disorder)', 'marie struempell disease', 'arthritis; spine or vertebra, ankylosing', 'marie struempell dis', 'spine or vertebra; arthritis, marie-str\xc3\xbcmpell', 'bechterew', 'rheumatoid; spondylitis', 'bechterews disease', 'spondylitis, marie-strumpell', 'marie-str\xc3\xbcmpell', 'spondyloarthritis ankylopoietica', 'marie strumpell spondylitis', 'von bechterew-struempell syndrome', ""bechterew's disease"", 'spondylarthritis, ankylosing', 'arthritis; spine or vertebra, marie-str\xc3\xbcmpell', 'bechterews dis', 'marie strumpell disease', 'spondylarthritis ankylopoietica', 'ankylosing; spondylitis', 'spondylitis; ankylosing', 'spondylitis; rheumatoid', 'ankylosing spondylitis (diagnosis)', 'spondylitis, rheumatoid', 'rheumatoid arthritis of spine', 'ankylosing spondyloarthritides', 'str\xc3\xbcmpell-marie', 'ankylosing spondylarthritis', 'marie-strumpell spondylitis', 'arthritis rheumatoid spine', 'bekhterev-strumpell-marie syndrome', 'ankylopoietica; spondylitis', 'as - ankylosing spondylitis', 'ankylosing spondylitis', 'rheumatoid spondylitis', 'spondylitis, ankylosing', 'ank spond', 'marie str\xc3\xbcmpell spondylitis', 'idiopathic ankylos spondylit', 'spondylitis ankylopoietica', 'spondylarthritides, ankylosing', 'spondyloarthritis, ankylosing', ""bekhterev's disease"", 'spine rheumatoid arthritis', 'bechterew disease', 'ankylosing spondylarthritides', 'ankylosing polyarthritis', 'spine or vertebra; arthritis, ankylosing', 'rheumatoid arthritis of spine, nos', 'rheumatioid arthritis of spine nos', 'disease;bechterews', 'spondylitis, ankylosing [disease/finding]', 'spondyloarthritides, ankylosing', 'marie-struempell spondylitis', 'marie-str\xc3\xbcmpell; spondylitis', 'rheumatoid; arthritis, spine', 'arthritis; rheumatoid, spine', 'bechterew dis', 'spondylitis ankylosing', 'ankylosing spondyloarthritis', 'idiopathic ankylosing spondylitis', 'von bechterew', 'spondylitis; marie-str\xc3\xbcmpell', 'marie-strumpell disease']"
Estradiol plasma levels (breast cancer),[]
Intelligence,"['intelligence', 'intelligence, nos', 'intelligence (function)', 'intelligence, function (observable entity)', 'intelligence, function']"
Waist circumference and related phenotypes,[]
non-alcoholic fatty liver disease,"['fatty liver, nonalcoholic', 'nonalcoholic fatty liver disease', 'nonalcoholic fatty liver', 'nafld', 'nonalcoholic fatty liver disease (nafld)', 'nonalcoholic fatty liver (diagnosis)', 'non-alcoholic fatty liver disease', 'nafld - nonalcoholic fatty liver disease', 'non-alcoholic fatty liver', 'nonalcoholic fatty liver (disorder)', 'non-alcoholic fatty liver (disorder)']"
Femoral neck bone geometry and menarche (age at onset),[]
liver enzyme measurement,[]
serum zinc measurement,"['serum zinc level', 'serum zinc level (procedure)', 'serum zinc measurement (lab test)', 'serum zinc measurement', 'serum zinc measurement (procedure)']"
Haptoglobin levels,[]
bone density,"['bone mineral density studies', 'bmd', 'bone mineral density test', 'bone density test', 'bone mineral density', 'bone density', 'bone mass', 'bone masses', 'bmd', 'density, bone', 'bone densities', 'bone mineral densities', 'bone mineral density', 'density, bone mineral', 'bone density', 'bone mass']"
Inflammatory bowel disease (early onset),[]
vitamin e measurement,"['altcphrl', 'alpha tocopherol measurement', 'assay of vitamin e', 'measurement of alpha tocopherol (vitamin e)', 'vitamin e each test', 'vitamin e measurement (procedure)', 'vitamin e assay', 'vitamin e level', 'tocopherol measurement', 'alpha tocopherol', 'vitamin e', 'assay of tocopherol alpha vitamin e', 'vtmn e ea.tst', 'vitamin e blood level test', 'vitamin e measurement', 'vitamin e test', 'vite', 'tocopherol alpha (vitamin e)']"
volumetric brain mri,[]
eosinophil count,"['eosinophils', 'blood cell count, eosinophil', 'eosinophil count nos', 'blood eosinophil count (lab test)', 'blood eosinophil count', 'eosinophil count - observation', 'eosinophil count procedure', 'eosinophil count nos (procedure)', 'eos', 'eosinophil count (procedure)', 'eosinophil count test', 'count eosinophil', 'counts eosinophil', 'eosinophil count', 'counts eosinophil', 'finding of eosinophil count', 'eosinophil count nos (procedure)', 'finding of eosinophil count (finding)', 'eosinophil count (procedure)', 'eosinophil count - finding', 'count eosinophil', 'eosinophil count nos', 'eosinophil count result', 'eosinophil count']"
bone measurement,[]
Type 1 diabetes autoantibodies,[]
Natriuretic peptide levels,[]
Uric acid levels,[]
Matrix metalloproteinase levels,[]
Cardiac hypertrophy,"['heart hypertrophy', 'hypertrophy; cardiac', 'hypertrophy; heart', 'cardiac hypertrophy nos', 'cardiac hypertrophy', 'hypertrophic heart', 'hypertrophic;heart', 'heart; hypertrophy', 'cardiac hypertrophy nos (disorder)', 'cardiac; hypertrophy']"
response to ziprasidone,['response to ziprasidone']
Eye color,"['iris pigmentation', 'color of eyes', 'color eyes', 'coloring eye', 'colors eyes', 'color eye', 'colored eyes', 'eyes color', 'color, eye', 'colors eye', 'eye color', 'eye colors', 'iris pigmentation (observable entity)', 'colors, eye']"
Hypertension,"['hyperpiesis', 'vascular hypertension', 'hypertensive disease', 'hypertensive cardiovascular disease or syndrome', 'hypertension arterial', 'blood high pressure', 'hypertensive disorder, systemic arterial', 'systemic hypertension', 'complications affecting other specified body systems, not elsewhere classified, hypertension', 'hypertensive disease nos', 'systemic htn', 'arterial hypertension', 'hyperpiesia', 'hypertension', 'hypertension [disease/finding]', 'hypertensive disease nos (disorder)', 'hypertensive disorder, systemic arterial (disorder)', 'high blood pressure', 'blood pressure, high', 'hypertensive disease (disorder)', 'hypertensive diseases', 'vascular hypertensive disorder', 'surg comp - hypertension', 'high; blood pressure', 'systemic arterial hypertension', 'hypertension, nos', 'raised blood pressure (disorder)', 'bp - high blood pressure', 'htn', 'hypertension, arterial', 'bp+ - hypertension', 'hbp - high blood pressure', 'blood pressure; high', 'blood pressure, increased', '(hypertensive disease) or (hypertension) (disorder)', 'ht - hypertension', '[x]hypertensive diseases', 'hypertensive vascular degeneration', '(hypertensive disease) or (hypertension)', 'hypertensive diseases (i10-i15)', 'ht', 'high; arterial tension', 'hypertensive disorder', 'blood pressure high', 'high blood pressures', '[x]hypertensive diseases (disorder)', 'hypertensive vascular disease', 'high bp', 'blood pressures, high', 'hypertension nos', 'increased blood pressure', '3-02 hypertensive diseases', 'arterial hypertension systemic', 'hypertensive disease, nos', 'htn - hypertension', 'systemic hypertension (diagnosis)', 'pressure, high blood', 'hbp', 'high blood pressure disorder', 'hypertension', 'hypertension adverse event']"
sensory perception of smell,"['sense of smell, function', 'sense of smell, function (observable entity)', 'smelled', 'ability to recognise smell', 'ability to recognize smell', 'smell sense', 'olfactory', 'smell, nos', 'olfaction', 'sense of smell (function)', 'scent perception', 'olfactory sense', 'sensory perception of smell', 'smelling', 'olfactory perception', 'sense of smell', 'olfaction, nos', 'smell', 'smell perception', 'smells']"
childhood onset asthma,[]
nevus,"['naevus', 'benign melanocytic nevus of skin', 'benign melanoma of skin', 'benign melanocytic naevus of skin (disorder)', 'naevus - benign', 'benign melanocytic skin nevus', 'benign skin nevus', 'mole', 'benign melanocytic nevus of the skin', 'benign melanocytic nevus skin', 'benign melanoma', 'benign melanocytic naevus (morphologic abnormality)', 'neoplasm benign;nevus;skin', 'skin mole', 'benign nevus', 'benign skin melanoma', 'benign melanocytic naevus skin', 'benign melanocytic naevus of skin', 'nevus benign', 'benign naevus', 'benign mole', 'melanocytic naevus', 'benign nevi', 'mole - benign', 'benign melanocytic naevus', 'naevus;benign', 'benign melanocytic nevus', 'melanocytic nevus', 'nevus - benign', 'benign skin naevus', 'benign naevus of skin', 'benign nevus of skin', 'mole;benign', 'neoplasm benign;naevus;skin', 'benign nevus of the skin', 'nevus;benign', 'nevus', 'moles', 'mole nevus', 'nevus mole', 'moles nevus', 'nevus/mole', 'naevus/mole', 'naevus, nos', 'skin mole, nos', 'mole of skin', 'naevus', 'skin moles', 'nevus, nos', 'mole, skin', 'moles, skin', 'skin mole', 'nevus (disorder)', 'nevus [disease/finding]', 'nevus nos', 'moles', 'nevus', 'nevi', 'mole', 'pigmented moles', '[x]melanocytic naevi, unspecified (disorder)', 'naevus', 'pigmented nevus of skin', 'melanocytic naevus of skin', 'nevus;pigmented', 'pigmented naevus nos', 'melanocytic naevi', '[x]melanocytic nevi, unspecified (disorder)', 'pigmented naevus of skin', 'nevus, pigmented', 'nevi pigmented', 'nevus pigmented', 'mole (skin)', 'nevus, pigmented [disease/finding]', 'nevi, melanocytic', 'nevi', 'melanocytic nevi', 'pigmented nevus, no icd-o subtype', 'pigmented nevi', '[x]melanocytic nevi, unspecif', 'melanocytic naevus', 'pigmented nevus', 'naevus;pigmented', '[m]pigmented nevus nos', 'melanocytic naevi, unspecified', 'melanocytic nevi, unspecif', 'mole', '[x]melanocytic naevi, unspecified', 'melanotic nevus', 'melanocytic nevus of skin (disorder)', 'nevus melanotic', '[x]melanocytic nevi, unspecified', 'nervus pigmented', '[m]pigmented naevus nos', 'pigmented nevus (morphologic abnormality)', '[x]melanocytic naevi, unspecif', 'mole of skin', 'melanocytic nevus (disorder)', 'pigmented naevus', 'pigmented naevus, nos', 'pigmented nevus, no icd-o subtype (morphologic abnormality)', 'nevus, melanocytic', 'pigmented mole', 'naevi melanocytic', 'nevus', 'melanocytic nevus', 'melanocytic naevus (clinical)', 'pigmented nevus nos', 'melanocytic naevi, unspecif', 'melanocytic nevus (clinical)', 'nevi, pigmented', 'nevus melanocytic', 'nevi melanocytic', 'pigmented nevus, nos', 'pigmented nevus (diagnosis)', 'melanocytic nevi, unspecified', 'nevus pigmentation', 'moles', 'melanocytic nevus of skin', 'naevi pigmented']"
response to antidepressant,['response to antidepressant']
Autism,"['infantile autism, early', 'disorder; autistic', 'autistic disorder (disorder)', 'autistic; disorder', 'kanner', 'autistic disorder of childhood onset', 'early infantile autism', 'autism, childhood onset', 'autistic disorder [disease/finding]', 'child autism', 'childhood autism [ambiguous]', 'autism', 'autistic disorder, nos', 'autistic disorder (diagnosis)', 'autism child', 'autism, infantile', 'disorders, autistic', 'autism, early infantile', 'autistics', 'autistic disorder infantile, full syndrome present', 'autism childhood', 'childhood autism', 'infantile autism', 'disorder, autistic', 'autistic disorder', 'autism disorder', 'autistic spectrum disorder (asd)', 'autism (209850)', 'autism;child', 'infantile autism (diagnosis)', 'autistic disorder of childhood onset (diagnosis)', ""kanner's syndrome"", 'autistic disorder (infantile autism, full syndrome present)', 'infantile autism nos', 'autisms', 'autistic', 'kanner syndrome', 'childhood autistic disorder', 'childhood autism (disorder)', 'autism infantile', ""syndrome, kanner's"", 'kanners syndrome', 'autistic disorder of childhood onset (disorder)', 'autistic disorders', 'infantile autism (disorder)', 'infantile autism nos (disorder)']"
red blood cell distribution width,"['rdw - red blood cell distribution width result', 'red blood cell distribut width', 'rdw - red blood cell distribution width', 'rdw - red cell distribut width', 'red blood cell distribution width', 'erythrocytes distribution width', 'red cell width distribution', 'red blood cell distribution width (observable entity)', 'red blood cell distribution width (& level) (procedure)', 'red blood cell distribution width (& level)', 'rdw', 'red cell distribution width determination (procedure)', 'rdw determination', 'red cell distribution width', 'red blood cell distribution width', 'erythrocyte distribution width measurement', 'red cell distribution width determination', 'rdw - red blood cell distribution width', 'cells distribution red width', 'cell distribution red width', 'erythrocyte distribution width']"
